ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:AAPL251114C00215000,AAPL,2025-11-14,5,215.0,C,0.9999399283725692,6.095044425498628e-10,-0.019572361025429752,-2.6297970076074742e-05,,195,52.55,54.9,173,173,52.77,118,268.725,268.69
O:AAPL251114C00240000,AAPL,2025-11-14,5,240.0,C,0.9999399283576914,-1.4348995172880202e-10,-0.02225596563913439,-9.204289527793825e-05,,267,28.05,29.4,223,275,28.65,1807,268.725,268.69
O:AAPL251114C00245000,AAPL,2025-11-14,5,245.0,C,0.9874692699539753,0.002826104121199682,-0.06150728232794642,0.014625258708417813,,611,23.05,24.65,181,244,23.5,253,268.85,268.69
O:AAPL251114C00250000,AAPL,2025-11-14,5,250.0,C,0.99993992836116,8.784661395810414e-10,-0.023329407484232918,-9.204289529984037e-05,,1688,18.5,18.95,43,81,18.6,178,268.725,268.69
O:AAPL251114C00252500,AAPL,2025-11-14,5,252.5,C,0.990960391712976,0.003335021073328259,-0.04186238098670785,0.006265558327940937,,125,15.9,16.75,111,106,16.3,132,268.825,268.69
O:AAPL251114C00255000,AAPL,2025-11-14,5,255.0,C,0.9901000129457668,0.004232668781570582,-0.040876367188347314,0.006263335694937177,,1090,13.6,14.05,39,109,13.82,306,268.825,268.69
O:AAPL251114C00257500,AAPL,2025-11-14,5,257.5,C,0.9410018075438198,0.015762200262125728,-0.11687152858736825,0.02994537345725099,,230,11.2,11.8,55,42,11.45,334,269,268.69
O:AAPL251114C00260000,AAPL,2025-11-14,5,260.0,C,0.872962591470963,0.026297873502865807,-0.20168740369646537,0.07858227469170548,,1843,9.2,9.45,28,83,9.36,1027,269.325,268.69
O:AAPL251114C00262500,AAPL,2025-11-14,5,262.5,C,0.796368338275333,0.036453944535574635,-0.25713913667468313,0.07928658432740905,,644,7.05,7.4,29,20,7.3,893,269.725,268.69
O:AAPL251114C00265000,AAPL,2025-11-14,5,265.0,C,0.6903379993057557,0.04487664464732966,-0.31484426530232373,0.10470516772144302,,1981,5.3,5.55,17,27,5.44,4169,270.425,268.69
O:AAPL251114C00267500,AAPL,2025-11-14,5,267.5,C,0.571696520099569,0.050382962253504304,-0.34087234346937084,0.12080021411707845,,2582,3.8,3.9,2,17,3.9,7478,271.35,268.69
O:AAPL251114C00270000,AAPL,2025-11-14,5,270.0,C,0.4443195525405298,0.051908007792888275,-0.3320006188001266,0.12197307764337674,,8522,2.46,2.61,24,21,2.55,21899,272.535,268.69
O:AAPL251114C00272500,AAPL,2025-11-14,5,272.5,C,0.3212464094064583,0.04728666741555432,-0.29840794269902604,0.10777047952502036,,3302,1.54,1.64,15,19,1.61,16681,274.09,268.69
