ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:AMD251114C00217500,AMD,2025-11-14,5,217.5,C,1.0000000000048102,-2.1531172252458745e-10,-0.02334736000496706,-2.8877478023959077e-06,,33,18.4,18.7,28,17,18.4,183,236.05,235.95
O:AMD251114C00220000,AMD,2025-11-14,5,220.0,C,0.908909879138915,0.012897559138574903,-0.2413945988565368,0.04533506572318014,,1006,16.5,16.75,23,4,16.43,2011,236.625,235.95
O:AMD251114C00222500,AMD,2025-11-14,5,222.5,C,0.8602880107757851,0.016826853282900532,-0.3358131215527258,0.06858432832599809,,54,14.15,14.95,40,15,14.76,730,237.05,235.95
O:AMD251114C00225000,AMD,2025-11-14,5,225.0,C,0.7805979052479181,0.019513695130497326,-0.5105663833431684,0.09051527465058098,,731,12.95,13.2,70,16,12.95,1214,238.075,235.95
O:AMD251114C00227500,AMD,2025-11-14,5,227.5,C,0.7232990456941246,0.021670057545973367,-0.5681715782572325,0.09113729038269545,,145,11.05,11.65,43,22,11.5,4041,238.85,235.95
O:AMD251114C00230000,AMD,2025-11-14,5,230.0,C,0.6569575654703349,0.022287367957249126,-0.6832619168826275,0.10490206232459451,,1741,9.95,10.2,33,10,10.15,18113,240.075,235.95
O:AMD251114C00232500,AMD,2025-11-14,5,232.5,C,0.5971006902547641,0.022759656852021175,-0.717105078369724,0.10558477874471155,,282,8.7,8.85,25,20,8.8,2893,241.275,235.95
O:AMD251114C00235000,AMD,2025-11-14,5,235.0,C,0.5387892548211938,0.022629830475761725,-0.7699233623377109,0.1062597174334843,,1556,7.6,7.7,2,18,7.59,7762,242.65,235.95
O:AMD251114C00237500,AMD,2025-11-14,5,237.5,C,0.4841588244153775,0.022318551240286554,-0.779557823648463,0.10691990618320713,,1088,6.5,6.65,6,39,6.51,2700,244.075,235.95
O:AMD251114C00240000,AMD,2025-11-14,5,240.0,C,0.4311036471564367,0.021634758333117145,-0.7729562181392113,0.1075728520052532,,3731,5.55,5.7,43,28,5.61,16495,245.625,235.95
O:AMD251114C00242500,AMD,2025-11-14,5,242.5,C,0.38183314732570084,0.020656455784532898,-0.7799061029733383,0.10820994027819404,,1442,4.75,4.85,89,54,4.8,3482,247.3,235.95
O:AMD251114C00245000,AMD,2025-11-14,5,245.0,C,0.33650131504871117,0.019484657284800533,-0.7427119678753559,0.09524366949967933,,3632,4,4.15,8,22,4.1,6282,249.075,235.95
O:AMD251114C00247500,AMD,2025-11-14,5,247.5,C,0.2950343624929343,0.018074217243069794,-0.7092461809912078,0.09579202422155424,,2075,3.4,3.55,96,339,3.5,1949,250.975,235.95
O:AMD251114C00250000,AMD,2025-11-14,5,250.0,C,0.2562755041368751,0.016686818923277308,-0.6812746907325649,0.09633036062484618,,7664,2.87,2.96,22,40,3.01,17192,252.915,235.95
O:AMD251114C00252500,AMD,2025-11-14,5,252.5,C,0.22156437183334263,0.015278664551469595,-0.6286939105652923,0.07408198730027071,,3621,2.36,2.5,51,43,2.46,1664,254.93,235.95
O:AMD251114C00255000,AMD,2025-11-14,5,255.0,C,0.19337021941073818,0.013772205766810283,-0.5849750641398245,0.07448513309596817,,6269,2.07,2.11,22,9,2.08,6738,257.09,235.95
O:AMD251114C00257500,AMD,2025-11-14,5,257.5,C,0.16658056301811733,0.012356917670096664,-0.5432086899851255,0.07488367958676256,,1555,1.74,1.78,2,5,1.74,5251,259.26,235.95
O:AMD251114C00260000,AMD,2025-11-14,5,260.0,C,0.143433365793543,0.011055829696586278,-0.511206099661959,0.07526908738099052,,14889,1.46,1.5,2,11,1.49,16078,261.48,235.95
O:AMD251114C00262500,AMD,2025-11-14,5,262.5,C,0.12331048822574137,0.00983479511096093,-0.45449460430632027,0.050450249439989034,,2242,1.22,1.27,19,8,1.25,2155,263.745,235.95
O:AMD251114C00265000,AMD,2025-11-14,5,265.0,C,0.1054167088654531,0.008671424202176507,-0.40754511756010714,0.05071361504352133,,5355,1.03,1.06,10,1,1.04,3886,266.045,235.95
O:AMD251114C00267500,AMD,2025-11-14,5,267.5,C,0.09016249888715795,0.007620626620949855,-0.37047214147781216,0.05096786087601932,,1064,0.86,0.9,91,70,0.86,1083,268.38,235.95
O:AMD251114C00270000,AMD,2025-11-14,5,270.0,C,0.07678362725369603,0.006684077853557132,-0.3390423146204677,0.051215759767489724,,12326,0.72,0.75,78,36,0.73,4670,270.735,235.95
O:AMD251114C00272500,AMD,2025-11-14,5,272.5,C,0.06581772729512952,0.005867370208977454,-0.2998815633814391,0.02980160215077341,,1985,0.61,0.63,236,69,0.6,323,273.12,235.95
O:AMD251114C00275000,AMD,2025-11-14,5,275.0,C,0.05636448754692582,0.005121209419401002,-0.26561146501673,0.029949287585485925,,4293,0.51,0.54,111,167,0.52,1316,275.525,235.95
O:AMD251114C00277500,AMD,2025-11-14,5,277.5,C,0.04744247275595764,0.004416909047606348,-0.23333157870281251,0.03009522008944072,,1748,0.42,0.45,131,1,0.43,258,277.935,235.95
O:AMD251114C00280000,AMD,2025-11-14,5,280.0,C,0.04029355769110181,0.0038253850678999063,-0.20901255141842592,0.030235302250565997,,5128,0.36,0.37,20,1,0.36,3460,280.365,235.95
O:AMD251114C00282500,AMD,2025-11-14,5,282.5,C,0.0345933250259135,0.0033383944011118345,-0.19062429570625325,0.015185385671087737,,862,0.29,0.33,168,149,0.32,78,282.81,235.95
O:AMD251114C00285000,AMD,2025-11-14,5,285.0,C,0.029833129321210416,0.002917700276221008,-0.16736271925599827,0.015258271509607384,,1534,0.25,0.28,130,97,0.26,1365,285.265,235.95
O:AMD251114C00287500,AMD,2025-11-14,5,287.5,C,0.025529640989525752,0.0025290172144697433,-0.1468155752626575,0.01532976090513259,,272,0.21,0.24,56,36,0.21,220,287.725,235.95
O:AMD251114C00290000,AMD,2025-11-14,5,290.0,C,0.022602681644246343,0.0022382055680868237,-0.13441163098171485,0.015396996585132822,,5212,0.18,0.22,34,37,0.19,1245,290.2,235.95
O:AMD251114C00292500,AMD,2025-11-14,5,292.5,C,0.018439059301196204,0.0018746752236303561,-0.11386440828616051,0.01546794319111124,,162,0.14,0.18,209,244,0.15,35,292.66,235.95
O:AMD251114C00295000,AMD,2025-11-14,5,295.0,C,0.016144528405982853,0.0016483888073635215,-0.10417457768468207,0.015533099810834183,,4190,0.13,0.15,115,124,0.13,309,295.14,235.95
O:AMD251114C00297500,AMD,2025-11-14,5,297.5,C,0.014386259332068748,0.0014696153580840237,-0.09719878123675316,0.015596608033477937,,119,0.1,0.15,68,316,0.1,72,297.625,235.95
O:AMD251114C00300000,AMD,2025-11-14,5,300.0,C,0.011768051470120318,0.0012346477175379604,-0.08047418043542398,0.006715840370645153,,5347,0.09,0.11,74,102,0.1,3421,300.1,235.95
O:AMD251114C00302500,AMD,2025-11-14,5,302.5,C,0.010063866383674241,0.0010657459578703335,-0.07005867442070782,0.006745525860691699,,115,0.06,0.11,50,48,0.09,1679,302.585,235.95
O:AMD251114C00305000,AMD,2025-11-14,5,305.0,C,0.008374198727004801,0.0008997320005075256,-0.05964316330297524,0.006775145586612521,,1071,0.06,0.08,115,36,0.06,229,305.07,235.95
O:AMD251114C00307500,AMD,2025-11-14,5,307.5,C,0.007197173038346731,0.0007778400242252666,-0.052811041892795084,0.006803253480474969,,48,0.04,0.08,149,98,0.07,69,307.56,235.95
O:AMD251114C00310000,AMD,2025-11-14,5,310.0,C,0.006047926537623318,0.000661535529857082,-0.04597871663855206,0.006831243202179446,,1364,0.04,0.06,24,94,0.06,357,310.05,235.95
O:AMD251114C00312500,AMD,2025-11-14,5,312.5,C,0.0038866709493449074,0.00045908696937625216,-0.03017158902888225,0.0024968547531876387,,177,0.02,0.04,33,118,0.04,677,312.53,235.95
O:AMD251114C00315000,AMD,2025-11-14,5,315.0,C,0.004320852526538743,0.00048494087072921866,-0.034851036156924885,0.0025046075887330253,,1200,0.02,0.05,15,167,0.04,207,315.035,235.95
O:AMD251114C00317500,AMD,2025-11-14,5,317.5,C,0.004721001014883798,0.0005052534577689026,-0.03953027456080653,0.002512519497100736,,66,0.03,0.05,2,23,0.03,257,317.54,235.95
O:AMD251114C00320000,AMD,2025-11-14,5,320.0,C,0.003642811486816518,0.00040273892140252695,-0.03041774449844961,0.0025242511580769434,,1372,0.02,0.04,2,142,0.02,62,320.03,235.95
O:AMD251114C00322500,AMD,2025-11-14,5,322.5,C,0.0030580472014423207,0.0003414556768681556,-0.025902452165861865,0.002534706187274602,,23,0.01,0.04,81,120,0.11,9,322.525,235.95
