ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:AVGO251114C00330000,AVGO,2025-11-14,5,330.0,C,0.9590995423481242,0.006767073420716266,-0.14672003398788788,0.038944671866072825,,174,20.85,22.55,166,32,20.05,154,351.7,351.34
O:AVGO251114C00332500,AVGO,2025-11-14,5,332.5,C,0.8879626822080005,0.011702821572496344,-0.358754404669255,0.06812239537502536,,13,18.8,21,137,133,15.4,12,352.4,351.34
O:AVGO251114C00335000,AVGO,2025-11-14,5,335.0,C,0.8388543773988701,0.01404737169487318,-0.4760865494959427,0.10282136004972293,,386,17.5,18.55,157,32,17.4,161,353.025,351.34
O:AVGO251114C00337500,AVGO,2025-11-14,5,337.5,C,0.7956013692246567,0.01606900914770273,-0.5657383078430879,0.1033681388040935,,52,15.05,17.15,150,177,15.92,117,353.6,351.34
O:AVGO251114C00340000,AVGO,2025-11-14,5,340.0,C,0.7370822169432403,0.017100787702392994,-0.6855398932194915,0.13592401575545118,,1187,14.5,14.85,45,32,14.5,783,354.675,351.34
O:AVGO251114C00342500,AVGO,2025-11-14,5,342.5,C,0.6945498586552568,0.01878651004026364,-0.7225284104799136,0.13654708237434485,,91,12.25,13.35,180,91,11.7,567,355.3,351.34
O:AVGO251114C00345000,AVGO,2025-11-14,5,345.0,C,0.6431521654606205,0.019517416448939562,-0.7958840095378521,0.1568125833571265,,1254,11.15,11.55,109,8,11,2575,356.35,351.34
O:AVGO251114C00347500,AVGO,2025-11-14,5,347.5,C,0.5925694562693191,0.020205755921510745,-0.8134596830747072,0.15753368258133413,,25,9.65,10.15,218,56,9.65,765,357.4,351.34
O:AVGO251114C00350000,AVGO,2025-11-14,5,350.0,C,0.540898235240077,0.020312406361365123,-0.855445190485985,0.15825937705010015,,921,8.35,9,197,194,8.55,1985,358.675,351.34
O:AVGO251114C00352500,AVGO,2025-11-14,5,352.5,C,0.4908277511626477,0.02058904361277915,-0.8529092458982653,0.15897614588451853,,254,7.1,7.65,291,10,7.32,329,359.875,351.34
O:AVGO251114C00355000,AVGO,2025-11-14,5,355.0,C,0.4415834045787954,0.020017423177367773,-0.8436008361821394,0.15968431353273277,,1007,6.05,6.75,204,262,6.3,1711,361.4,351.34
O:AVGO251114C00357500,AVGO,2025-11-14,5,357.5,C,0.391187205104172,0.019757377091870656,-0.8207316175542179,0.16040170913135113,,302,5.05,5.55,236,19,5.22,1628,362.8,351.34
O:AVGO251114C00360000,AVGO,2025-11-14,5,360.0,C,0.34694918002313213,0.018756108413335363,-0.7982400243538608,0.14095999105946455,,1401,4.25,4.8,261,145,4.48,3476,364.525,351.34
O:AVGO251114C00362500,AVGO,2025-11-14,5,362.5,C,0.30094017688805286,0.017819734330456912,-0.7338532155330487,0.141596073658531,,350,3.55,3.85,105,2,3.76,1273,366.2,351.34
O:AVGO251114C00365000,AVGO,2025-11-14,5,365.0,C,0.26485845580619827,0.01634815599365423,-0.7141395219984467,0.14217031034916977,,1679,3.1,3.3,1,55,3.2,1627,368.2,351.34
O:AVGO251114C00367500,AVGO,2025-11-14,5,367.5,C,0.22646886393533563,0.015121071325533508,-0.6573316659908972,0.10918769418553326,,375,2.45,2.73,113,42,2.45,357,370.09,351.34
O:AVGO251114C00370000,AVGO,2025-11-14,5,370.0,C,0.19341108487392777,0.013692996815134533,-0.5901716251084004,0.10965903659572784,,1665,2,2.26,131,75,2.19,3066,372.13,351.34
O:AVGO251114C00372500,AVGO,2025-11-14,5,372.5,C,0.16494791674330686,0.01224954714402767,-0.5415740005064178,0.11010198656241554,,2952,1.62,1.91,273,298,1.72,833,374.265,351.34
O:AVGO251114C00375000,AVGO,2025-11-14,5,375.0,C,0.13910808594736426,0.010893334784321229,-0.4976970332829671,0.07368879277441369,,1390,1.31,1.56,310,230,1.51,2747,376.435,351.34
O:AVGO251114C00377500,AVGO,2025-11-14,5,377.5,C,0.11702621559426227,0.009587641857363811,-0.4323998338692084,0.07400137129547296,,2204,1.08,1.26,238,260,1.07,1364,378.67,351.34
O:AVGO251114C00380000,AVGO,2025-11-14,5,380.0,C,0.09827348685968676,0.008352177990928104,-0.3826292210647978,0.07429427561025789,,1475,0.9,1.02,65,43,0.96,1491,380.96,351.34
O:AVGO251114C00382500,AVGO,2025-11-14,5,382.5,C,0.08016217926276877,0.007167258568878574,-0.3342700671983021,0.07458344690064546,,661,0.69,0.82,60,6,0.76,165,383.255,351.34
