ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:COIN251114C00175000,COIN,2025-11-14,5,175.0,C,0.9967408139783049,0.00014188315533937435,-0.09055799313612688,0.005745094867791023,,1,131.45,137.2,120,122,178.4,2,309.325,309.16
O:COIN251114C00180000,COIN,2025-11-14,5,180.0,C,0.9933243181651926,0.0002585663977487037,-0.16022227033122644,0.0058269638313204,,18,126.5,132.35,125,126,107.74,10,309.425,309.16
O:COIN251114C00195000,COIN,2025-11-14,5,195.0,C,0.9999999999959952,-3.7618952849865633e-10,-0.02093211563106551,-0.00025411892011364625,,1,111.5,117,111,110,105.3,1,309.25,309.16
O:COIN251114C00200000,COIN,2025-11-14,5,200.0,C,0.980190159862765,0.0006873530346630775,-0.3770045581091138,0.014348023389938715,,0,106.55,113.1,119,124,,,309.825,309.16
O:COIN251114C00205000,COIN,2025-11-14,5,205.0,C,0.9883893610869355,0.000509873405382973,-0.2112769104158772,0.014534101527903909,,1,101.55,107.5,111,116,169,1,309.525,309.16
O:COIN251114C00210000,COIN,2025-11-14,5,210.0,C,0.9869732933360079,0.0005879964535497326,-0.22172124060040158,0.014713270790187544,,4,96.6,102.5,138,145,94,1,309.55,309.16
O:COIN251114C00215000,COIN,2025-11-14,5,215.0,C,0.9999999999986651,-7.523999161517365e-10,-0.023078999285927344,-0.00010395774010636708,,6,91.6,96.8,96,82,134,1,309.2,309.16
O:COIN251114C00220000,COIN,2025-11-14,5,220.0,C,0.9668196290650561,0.001210892105616046,-0.49762188897051896,0.03014053996727366,,10,86.65,93.65,105,168,88.65,20,310.15,309.16
O:COIN251114C00222500,COIN,2025-11-14,5,222.5,C,0.9823808043399795,0.0008542652887405728,-0.2545822649140969,0.015151868207937715,,0,84.15,90.1,88,91,,,309.625,309.16
O:COIN251114C00225000,COIN,2025-11-14,5,225.0,C,0.9999999999973301,-3.7618952912938397e-10,-0.024152441113078196,-0.00019636462025224389,,3,81.65,86.75,80,71,162.09,6,309.2,309.16
O:COIN251114C00227500,COIN,2025-11-14,5,227.5,C,0.9776242093145899,0.00107187692851933,-0.3056943405143272,0.015327212472480508,,0,79.2,85.25,78,81,,,309.725,309.16
O:COIN251114C00230000,COIN,2025-11-14,5,230.0,C,0.9760934157661223,0.0011591840615244103,-0.3176868084883751,0.015413596326032253,,1,76.7,82.8,79,84,124.25,2,309.75,309.16
O:COIN251114C00232500,COIN,2025-11-14,5,232.5,C,1.000000000001335,1.1286103046927362e-09,-0.024957522483664785,-0.00017326290027992752,,1,74.2,79.3,73,58,86.3,1,309.25,309.16
O:COIN251114C00235000,COIN,2025-11-14,5,235.0,C,0.9869585607609691,0.0008391588081532966,-0.16530595065012463,0.015558997511863782,,4,71.75,77.2,70,61,58.22,3,309.475,309.16
O:COIN251114C00237500,COIN,2025-11-14,5,237.5,C,0.9893526146049129,0.0007594743678752377,-0.1365836474233677,0.0156334236521458,,0,69.25,74.6,71,63,,,309.425,309.16
O:COIN251114C00240000,COIN,2025-11-14,5,240.0,C,0.9673578929560785,0.0016340803950270428,-0.36849661487987334,0.031499984294721554,,11,66.8,73,85,106,68.25,8,309.9,309.16
O:COIN251114C00242500,COIN,2025-11-14,5,242.5,C,0.9564072967588044,0.0020029642159778934,-0.474136784299616,0.03167687669757029,,1,64.35,71,93,107,59.5,1,310.175,309.16
O:COIN251114C00245000,COIN,2025-11-14,5,245.0,C,0.9937064296697292,0.0005885756443713222,-0.08119384959529762,0.006785558775865695,,9,61.9,66.8,67,56,55.89,1,309.35,309.16
O:COIN251114C00247500,COIN,2025-11-14,5,247.5,C,0.9705761415575341,0.0017598996377446053,-0.2975592515467699,0.03197298262281849,,0,59.45,65.05,65,61,,,309.75,309.16
O:COIN251114C00250000,COIN,2025-11-14,5,250.0,C,0.9707551358324421,0.0018393326555812169,-0.2838464266585958,0.03212770193423143,,17,57,62.45,67,58,55.35,1,309.725,309.16
O:COIN251114C00252500,COIN,2025-11-14,5,252.5,C,0.9593343497114274,0.0023305691827172834,-0.369612815657678,0.032307138884216616,,0,54.55,60.35,61,58,57.93,14,309.95,309.16
O:COIN251114C00255000,COIN,2025-11-14,5,255.0,C,0.9447017918888522,0.0028666395225776676,-0.4951664637911083,0.03249369899427586,,2,53.25,57.3,49,51,55.44,2,310.275,309.16
O:COIN251114C00257500,COIN,2025-11-14,5,257.5,C,0.9539545691574725,0.002766288299718577,-0.38197371447508144,0.03262500679986931,,0,49.7,55.3,62,56,,,310,309.16
O:COIN251114C00260000,COIN,2025-11-14,5,260.0,C,0.9476653894641085,0.0031193855190482377,-0.4179983697435575,0.03279182394776833,,13,47.3,52.9,62,39,49.75,13,310.1,309.16
O:COIN251114C00262500,COIN,2025-11-14,5,262.5,C,0.9294759150655317,0.003756705304087563,-0.5435639127788308,0.05695964220934642,,0,44.9,51.1,65,64,,,310.5,309.16
O:COIN251114C00265000,COIN,2025-11-14,5,265.0,C,0.9444268776964513,0.003618458706429922,-0.4004978872897746,0.033096189308547894,,1,42.5,47.65,58,45,25.51,11,310.075,309.16
O:COIN251114C00267500,COIN,2025-11-14,5,267.5,C,0.9156975294463102,0.004555880935104396,-0.5808857019034371,0.05750983270376311,,0,40.9,45.5,53,46,,,310.7,309.16
O:COIN251114C00270000,COIN,2025-11-14,5,270.0,C,0.9063260332363476,0.005048672845334036,-0.6136469983524299,0.057789547036988013,,93,38.95,42.75,45,37,29,22,310.85,309.16
O:COIN251114C00272500,COIN,2025-11-14,5,272.5,C,0.8841703861311452,0.0057078966448770654,-0.7521926089900519,0.05810165286600245,,1,36.85,40.9,205,228,26.1,4,311.375,309.16
O:COIN251114C00275000,COIN,2025-11-14,5,275.0,C,0.8705092148233889,0.006254932531395946,-0.7946924281411132,0.08757353356640647,,98,35.15,38.15,167,141,31.5,22,311.65,309.16
O:COIN251114C00277500,COIN,2025-11-14,5,277.5,C,0.860547502360006,0.006839007253799163,-0.7964839500670163,0.08797793636707145,,7,32.65,35.9,201,170,34.35,11,311.775,309.16
O:COIN251114C00280000,COIN,2025-11-14,5,280.0,C,0.8282417316723205,0.0074298574079358975,-0.9544239412728196,0.08843352706263691,,42,31.65,33.75,67,199,31.99,212,312.7,309.16
O:COIN251114C00282500,COIN,2025-11-14,5,282.5,C,0.8201768928990676,0.008143358579653542,-0.9269375049403926,0.08883397983103584,,4,28.8,31.55,133,248,29.4,9,312.675,309.16
O:COIN251114C00285000,COIN,2025-11-14,5,285.0,C,0.804960858999637,0.008892625125610301,-0.9482410772571588,0.08924914896976655,,13,26.4,29.4,192,212,27.2,172,312.9,309.16
O:COIN251114C00287500,COIN,2025-11-14,5,287.5,C,0.7848581178858615,0.00963221286564388,-0.9980838306525764,0.11726694090489014,,1,24.9,26.7,176,226,25.13,163,313.3,309.16
O:COIN251114C00290000,COIN,2025-11-14,5,290.0,C,0.7557772285620112,0.010186365095832156,-1.0591182236160506,0.11782538272997078,,37,23.45,24.75,51,208,24.59,639,314.1,309.16
O:COIN251114C00292500,COIN,2025-11-14,5,292.5,C,0.727667444743644,0.010770056968696044,-1.1132882923350547,0.11838139579352733,,18,20.95,23.75,169,176,22,217,314.85,309.16
O:COIN251114C00295000,COIN,2025-11-14,5,295.0,C,0.7093504451354632,0.011928635968493107,-1.0747783404441602,0.11891627533872687,,160,18.85,21,191,150,19,1062,314.925,309.16
O:COIN251114C00297500,COIN,2025-11-14,5,297.5,C,0.6765959129767403,0.012399110938692393,-1.1564108497982124,0.11948448172483381,,86,17.85,18.9,176,225,18.07,282,315.875,309.16
O:COIN251114C00300000,COIN,2025-11-14,5,300.0,C,0.646528609036553,0.013055765372687522,-1.1710537462452784,0.13718730427900389,,430,16.45,16.8,57,11,16.45,1965,316.625,309.16
O:COIN251114C00302500,COIN,2025-11-14,5,302.5,C,0.6108093135264504,0.013104847202616291,-1.218430547966058,0.13782213492267215,,194,14.85,16.05,55,248,15.15,3604,317.95,309.16
O:COIN251114C00305000,COIN,2025-11-14,5,305.0,C,0.5780995151943324,0.013712582398450811,-1.2116342624830831,0.13845673975118852,,215,13.4,14.15,153,315,13.67,1894,318.775,309.16
O:COIN251114C00307500,COIN,2025-11-14,5,307.5,C,0.5435873108812882,0.014107659250342169,-1.2265067129837883,0.13909389275605896,,240,12.1,12.5,55,24,12.3,405,319.8,309.16
O:COIN251114C00310000,COIN,2025-11-14,5,310.0,C,0.5091019526046617,0.014161714293603866,-1.2448458250828842,0.13972467122265486,,10982,10.9,11.3,60,27,11.1,3091,321.1,309.16
O:COIN251114C00312500,COIN,2025-11-14,5,312.5,C,0.4743314626233827,0.014147068045006731,-1.21656796210086,0.14035603569919108,,3752,9.7,10.2,66,118,9.92,2486,322.45,309.16
O:COIN251114C00315000,COIN,2025-11-14,5,315.0,C,0.4398922804715033,0.01397582757651914,-1.201834521923785,0.14098336710493115,,1094,8.75,9.1,13,310,9.01,1460,323.925,309.16
O:COIN251114C00317500,COIN,2025-11-14,5,317.5,C,0.40547753852972357,0.013804905584963612,-1.1871010811680827,0.14161053293900305,,1577,7.7,8.1,87,93,7.93,245,325.4,309.16
O:COIN251114C00320000,COIN,2025-11-14,5,320.0,C,0.37359985662010026,0.013442753856553795,-1.188160472824492,0.12444670084566954,,2551,7,7.1,1,67,7.03,4677,327.05,309.16
O:COIN251114C00322500,COIN,2025-11-14,5,322.5,C,0.3438183314316761,0.012949994395005552,-1.1375250415283185,0.12498844440101532,,314,6.05,6.6,215,408,6.1,2950,328.825,309.16
O:COIN251114C00325000,COIN,2025-11-14,5,325.0,C,0.315862986582147,0.012365123194199463,-1.1006217196200507,0.12552119176366527,,576,5.4,6,220,396,5.72,1746,330.7,309.16
