ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:META251114C00600000,META,2025-11-14,5,600.0,C,0.9999581538224295,6.296751087656195e-10,-0.05872181828751419,-0.0003344196610006486,,371,24.55,26.1,13,5,26.18,4082,625.325,625.2607
O:META251114C00602500,META,2025-11-14,5,602.5,C,0.9397475051519022,0.007839897024804568,-0.2519072215665067,0.0695830651858652,,18,22.75,24.15,10,10,24,613,625.95,625.2607
O:META251114C00605000,META,2025-11-14,5,605.0,C,0.8457516958654768,0.01144486897518769,-0.5744540799753707,0.18331551666059756,,188,21,23.55,6,9,22.2,4745,627.275,625.2607
O:META251114C00607500,META,2025-11-14,5,607.5,C,0.7895724007729653,0.012512108304595442,-0.7716018324831087,0.18447325335794965,,53,20.15,21.65,8,16,19.35,1755,628.4,625.2607
O:META251114C00610000,META,2025-11-14,5,610.0,C,0.7677749876879019,0.013953360758770116,-0.7712153846703697,0.24183586206365448,,215,18.45,18.8,9,7,18.75,7245,628.625,625.2607
O:META251114C00612500,META,2025-11-14,5,612.5,C,0.7131080022572387,0.014177038465304057,-0.9147611441478372,0.24297861269979898,,21,16.8,18.25,2,24,17.2,2248,630.025,625.2607
O:META251114C00615000,META,2025-11-14,5,615.0,C,0.6761745478847596,0.014977148796641804,-0.9758081339476887,0.2438036480277158,,731,15.3,16.35,13,25,15.55,5117,630.825,625.2607
O:META251114C00617500,META,2025-11-14,5,617.5,C,0.6408367272524652,0.01591804653402666,-0.9943873187038318,0.27950415732519285,,202,13.85,14.2,5,20,14.11,3150,631.525,625.2607
O:META251114C00620000,META,2025-11-14,5,620.0,C,0.601304225861206,0.016639924670854195,-0.9929697958088406,0.28039901579652676,,843,12.05,12.75,21,2,12.68,15408,632.4,625.2607
O:META251114C00622500,META,2025-11-14,5,622.5,C,0.5572114021214529,0.01634805185337817,-1.0566681542929974,0.28137191263982014,,857,11.25,11.5,16,21,11.5,1877,633.875,625.2607
O:META251114C00625000,META,2025-11-14,5,625.0,C,0.5166454829266689,0.016297025101134077,-1.104087173073982,0.28228508071070285,,1692,10.1,10.3,6,23,10.29,4371,635.2,625.2607
O:META251114C00627500,META,2025-11-14,5,627.5,C,0.477311248412142,0.01607466462772961,-1.0921076869002408,0.2831765533740418,,651,9,9.25,7,19,9.2,1441,636.625,625.2607
O:META251114C00630000,META,2025-11-14,5,630.0,C,0.43846388977775314,0.015736041742745153,-1.0800888762231051,0.28405935258661213,,2257,8.05,8.2,9,1,8.16,8616,638.125,625.2607
O:META251114C00632500,META,2025-11-14,5,632.5,C,0.4009383875347029,0.015297283891224306,-1.076209275900091,0.28492054657210436,,614,7.1,7.3,8,4,7.19,900,639.7,625.2607
O:META251114C00635000,META,2025-11-14,5,635.0,C,0.3665713467044034,0.014678789664045446,-1.0867499203659634,0.250015773430587,,749,6.35,6.5,5,30,6.49,4695,641.425,625.2607
O:META251114C00637500,META,2025-11-14,5,637.5,C,0.3337846521150706,0.01401675887274723,-1.0361078148339702,0.25076789147912815,,511,5.6,5.8,25,31,5.85,943,643.2,625.2607
O:META251114C00640000,META,2025-11-14,5,640.0,C,0.30257662904077687,0.013278692536835043,-0.995777562778897,0.2514957353826426,,3289,4.95,5.15,5,29,5,7625,645.05,625.2607
O:META251114C00642500,META,2025-11-14,5,642.5,C,0.27305400918117323,0.01252003196257469,-0.9623217960276068,0.2521967586005232,,607,4.35,4.55,15,31,4.5,1793,646.95,625.2607
O:META251114C00645000,META,2025-11-14,5,645.0,C,0.24626900075203126,0.011744177358297692,-0.9391776039641495,0.25285487082102653,,2574,3.85,4,20,14,3.98,2942,648.925,625.2607
O:META251114C00647500,META,2025-11-14,5,647.5,C,0.2223354469275891,0.010961193148240069,-0.8897051247566791,0.19389016610790258,,443,3.4,3.55,14,18,3.5,1585,650.975,625.2607
O:META251114C00650000,META,2025-11-14,5,650.0,C,0.20082918485562912,0.010156945199174447,-0.8391550260484744,0.19440983415174806,,2770,3.05,3.15,4,21,3.1,5997,653.1,625.2607
O:META251114C00652500,META,2025-11-14,5,652.5,C,0.17607204844168273,0.009390954780314938,-0.7680849216459176,0.19497903932887975,,361,2.44,2.8,5,1,2.79,861,655.12,625.2607
O:META251114C00655000,META,2025-11-14,5,655.0,C,0.15878911177768468,0.008630281012701656,-0.7370775501002023,0.19543578162385214,,2022,2.19,2.5,7,15,2.5,1836,657.345,625.2607
O:META251114C00657500,META,2025-11-14,5,657.5,C,0.13602716113369087,0.00788838724879386,-0.6668824200723887,0.13066749408719205,,296,1.58,2.24,2,2,2.23,460,659.41,625.2607
O:META251114C00660000,META,2025-11-14,5,660.0,C,0.1295116125560501,0.007286738234217729,-0.6679328471769109,0.13089945163235434,,2581,1.75,2.01,8,11,1.99,4326,661.88,625.2607
O:META251114C00662500,META,2025-11-14,5,662.5,C,0.11766931304423758,0.006680946471588799,-0.6280442561112702,0.1312104822773142,,603,1.6,1.81,10,7,1.79,659,664.205,625.2607
O:META251114C00665000,META,2025-11-14,5,665.0,C,0.1067683459693575,0.0061146093176670975,-0.5923905794864632,0.1315090099400372,,2977,1.45,1.64,26,26,1.65,1012,666.545,625.2607
O:META251114C00667500,META,2025-11-14,5,667.5,C,0.09619422616565296,0.005579486183665575,-0.5567359499400436,0.1318030225565718,,235,1.27,1.5,3,16,1.48,493,668.885,625.2607
O:META251114C00670000,META,2025-11-14,5,670.0,C,0.09145404476503026,0.005189312618663336,-0.5563739613316379,0.13201923738792098,,3226,1.33,1.37,55,7,1.37,9981,671.35,625.2607
O:META251114C00672500,META,2025-11-14,5,672.5,C,0.08272210246149303,0.004748493547894959,-0.527777877687447,0.13229098322899002,,157,1.17,1.26,6,29,1.27,1190,673.715,625.2607
O:META251114C00675000,META,2025-11-14,5,675.0,C,0.07452330167950261,0.004341111146064186,-0.5005931922817201,0.1325568057256961,,2051,1.01,1.16,13,24,1.15,1444,676.085,625.2607
O:META251114C00677500,META,2025-11-14,5,677.5,C,0.06698407037232781,0.003963412056560178,-0.46112391527711616,0.07692317430901566,,187,0.85,1.08,2,50,1.12,318,678.465,625.2607
O:META251114C00680000,META,2025-11-14,5,680.0,C,0.06551789492146701,0.0037540850357692503,-0.4686660781508329,0.07703670044302359,,3638,0.96,0.99,2,2,0.99,3486,680.975,625.2607
O:META251114C00682500,META,2025-11-14,5,682.5,C,0.05964557012314502,0.003442929629441731,-0.436387851864256,0.07720562505186841,,89,0.83,0.94,242,55,0.92,583,683.385,625.2607
O:META251114C00685000,META,2025-11-14,5,685.0,C,0.05666973090771865,0.003223558495409256,-0.4280014793328358,0.07733939337719085,,1164,0.83,0.88,14,59,0.88,1007,685.855,625.2607
O:META251114C00687500,META,2025-11-14,5,687.5,C,0.052910991055674386,0.0029937557726804004,-0.41165094909037575,0.07748325384539169,,231,0.79,0.82,2,55,0.82,274,688.305,625.2607
O:META251114C00690000,META,2025-11-14,5,690.0,C,0.04928287811267861,0.0027780370624348053,-0.39530025207130753,0.07762619883426841,,1377,0.74,0.77,5,18,0.77,1925,690.755,625.2607
O:META251114C00692500,META,2025-11-14,5,692.5,C,0.04624198951602378,0.002589613889456876,-0.3829312794208861,0.07776276123138512,,118,0.7,0.73,15,24,0.73,234,693.215,625.2607
O:META251114C00695000,META,2025-11-14,5,695.0,C,0.043316982645309574,0.0024135775692987796,-0.3705620795033216,0.07789864428810465,,688,0.66,0.69,40,36,0.68,536,695.675,625.2607
O:META251114C00697500,META,2025-11-14,5,697.5,C,0.04095967551337754,0.0022632108589988775,-0.36217447862532237,0.07802873703688451,,596,0.63,0.66,12,19,0.66,452,698.145,625.2607
O:META251114C00700000,META,2025-11-14,5,700.0,C,0.0384719606049224,0.0021161182938859153,-0.3517956796444733,0.07816084263548574,,4038,0.6,0.62,5,5,0.61,3163,700.61,625.2607
O:META251114C00702500,META,2025-11-14,5,702.5,C,0.036529450659101154,0.0019926276218980815,-0.34539836876756463,0.07828772904044726,,167,0.57,0.6,4,6,0.59,83,703.085,625.2607
O:META251114C00705000,META,2025-11-14,5,705.0,C,0.0344445415553984,0.0018706947973398092,-0.3370098483497792,0.07841675111478325,,947,0.54,0.57,28,9,0.56,1108,705.555,625.2607
O:META251114C00707500,META,2025-11-14,5,707.5,C,0.03243278458875393,0.0017560916219645148,-0.3248213386029303,0.039278485752720124,,62,0.51,0.54,15,2,0.54,1029,708.025,625.2607
O:META251114C00710000,META,2025-11-14,5,710.0,C,0.03113488261491576,0.0016673715669062515,-0.317849751578314,0.039345972378324226,,769,0.49,0.53,13,2,0.51,1710,710.51,625.2607
O:META251114C00712500,META,2025-11-14,5,712.5,C,0.033744899049562974,0.0017012219251905008,-0.3596213458967249,0.07875141972343308,,222,0.47,0.7,4,4,0.47,127,713.085,625.2607
O:META251114C00715000,META,2025-11-14,5,715.0,C,0.027759293139281275,0.0014739577662956531,-0.29304594253120037,0.03948886593968363,,502,0.44,0.48,3,1,0.48,285,715.46,625.2607
O:META251114C00717500,META,2025-11-14,5,717.5,C,0.027248900746123204,0.0014203682886121131,-0.29421931476267926,0.03954887253355552,,272,0.43,0.49,2,4,0.46,323,717.96,625.2607
O:META251114C00720000,META,2025-11-14,5,720.0,C,0.02654095308272649,0.0013628609740591613,-0.29267742843675837,0.03961110478041735,,1179,0.41,0.5,11,5,0.44,766,720.455,625.2607
O:META251114C00722500,META,2025-11-14,5,722.5,C,0.023864577820283218,0.001242206471211512,-0.2667000385491947,0.039692225286353446,,556,0.39,0.42,5,2,0.43,97,722.905,625.2607
O:META251114C00725000,META,2025-11-14,5,725.0,C,0.027524476481675938,0.001330311016393585,-0.31945810035726185,0.03971407406821195,,544,0.38,0.62,1,5,0.41,533,725.5,625.2607
O:META251114C00727500,META,2025-11-14,5,727.5,C,0.027881820583634476,0.0013111066433904406,-0.33149018636725364,0.03976757182761446,,247,0.34,0.7,1,1,0.34,125,728.02,625.2607
O:META251114C00730000,META,2025-11-14,5,730.0,C,0.020928146484980616,0.0010635148965318574,-0.24849929543565744,0.039887298021305,,898,0.35,0.38,4,5,0.39,433,730.365,625.2607
O:META251114C00732500,META,2025-11-14,5,732.5,C,0.01970870035775742,0.0009995847304379813,-0.23881092181676336,0.039954682487035285,,209,0.32,0.37,1,6,0.35,155,732.845,625.2607
O:META251114C00735000,META,2025-11-14,5,735.0,C,0.015095154573619667,0.0008162935116420742,-0.1883985837348803,0.04005365687497942,,1800,0.16,0.34,12,2,0.35,257,735.25,625.2607
O:META251114C00737500,META,2025-11-14,5,737.5,C,0.01439953142311539,0.0007744265378704942,-0.18414116513987497,0.040116064308434875,,184,0.14,0.34,7,1,0.33,316,737.74,625.2607
O:META251114C00740000,META,2025-11-14,5,740.0,C,0.018384870011350037,0.0008966457740969945,-0.23689742982206657,0.040136328810448055,,1117,0.29,0.38,1,1,0.31,968,740.335,625.2607
