ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:MSFT251114C00470000,MSFT,2025-11-14,5,470.0,C,0.9825830121941449,0.00307521350779124,-0.10015169281936294,0.027383606436334626,,56,27.5,28.65,14,18,27.6,84,498.075,497.8
O:MSFT251114C00475000,MSFT,2025-11-14,5,475.0,C,0.9618610812298201,0.00613979826250086,-0.15499051617501458,0.055283745806738754,,76,22.8,23.6,10,15,23.2,33,498.2,497.8
O:MSFT251114C00480000,MSFT,2025-11-14,5,480.0,C,0.9017461705870073,0.012108981187863034,-0.29810921040192107,0.09677014850903529,,178,18.3,19.05,43,55,18,50,498.675,497.8
O:MSFT251114C00485000,MSFT,2025-11-14,5,485.0,C,0.8219593464677085,0.018115097876325443,-0.43160577019449553,0.1466687373937918,,871,14.3,14.55,2,2,14.55,340,499.425,497.8
O:MSFT251114C00490000,MSFT,2025-11-14,5,490.0,C,0.7309519013584268,0.024883590223571315,-0.49625053170482325,0.19346897272150534,,479,9.75,10.75,36,15,10.5,1592,500.25,497.8
O:MSFT251114C00495000,MSFT,2025-11-14,5,495.0,C,0.5873238274031183,0.027001711978423503,-0.6230131602376839,0.22359845497992,,710,7.35,7.55,2,23,7.53,3265,502.45,497.8
O:MSFT251114C00497500,MSFT,2025-11-14,5,497.5,C,0.5192366378394339,0.027758208595152625,-0.6487268787267477,0.2246950432371621,,560,6,6.15,3,14,6.12,2889,503.575,497.8
O:MSFT251114C00500000,MSFT,2025-11-14,5,500.0,C,0.45094668090115947,0.027641156626452522,-0.6244147767930908,0.22579486808819876,,3023,4.8,4.95,4,14,4.9,7854,504.875,497.8
O:MSFT251114C00502500,MSFT,2025-11-14,5,502.5,C,0.38182082960814867,0.027022220878302073,-0.6015439145499979,0.2269073651280495,,648,3.6,3.95,17,24,3.9,3247,506.275,497.8
O:MSFT251114C00505000,MSFT,2025-11-14,5,505.0,C,0.32248931408407977,0.024808099167675218,-0.5689353446300746,0.19946831703365173,,2271,3,3.1,13,32,3.05,6004,508.05,497.8
O:MSFT251114C00507500,MSFT,2025-11-14,5,507.5,C,0.2600779296822131,0.02282002702032913,-0.5079822202701169,0.20047131146729424,,1469,2.13,2.37,9,1,2.39,1578,509.75,497.8
O:MSFT251114C00510000,MSFT,2025-11-14,5,510.0,C,0.21264853592482327,0.020055776402341262,-0.46055004376756137,0.15398226859800246,,6249,1.69,1.83,26,27,1.8,7912,511.76,497.8
