ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:NVDA251114C00180000,NVDA,2025-11-14,5,180.0,C,0.9999973478170083,6.543767387681128e-10,-0.019212363795520337,2.903238290229011e-06,,7804,10.2,10.35,42,7,10.3,37782,190.275,190.2
O:NVDA251114C00182500,NVDA,2025-11-14,5,182.5,C,0.8498843599972901,0.029899639931236323,-0.2105463903329061,0.05561493608055343,,1278,8.35,8.5,10,11,8.4,33544,190.925,190.2
O:NVDA251114C00185000,NVDA,2025-11-14,5,185.0,C,0.7368018416455574,0.03741876004277423,-0.3181553344212841,0.07363922711526093,,26494,6.7,6.8,83,403,6.75,75615,191.75,190.2
O:NVDA251114C00187500,NVDA,2025-11-14,5,187.5,C,0.628301006602179,0.04100977252385334,-0.38858127159497813,0.08502792952672701,,2455,5.25,5.3,22,13,5.26,50433,192.775,190.2
O:NVDA251114C00190000,NVDA,2025-11-14,5,190.0,C,0.522192111239651,0.04168359157589539,-0.4278539622278731,0.08583151753384952,,31400,4,4.05,5,59,4,126262,194.025,190.2
O:NVDA251114C00192500,NVDA,2025-11-14,5,192.5,C,0.4221918493062503,0.04004630435978661,-0.41722632505390483,0.08660759910013048,,6720,2.97,2.99,10,2,3,24497,195.48,190.2
O:NVDA251114C00195000,NVDA,2025-11-14,5,195.0,C,0.3328018410152937,0.03632222511313587,-0.3972295725154132,0.07643929872074837,,48885,2.17,2.18,1,6,2.19,109737,197.175,190.2
O:NVDA251114C00197500,NVDA,2025-11-14,5,197.5,C,0.25618561184470573,0.03129998921640612,-0.36377497608470444,0.0770706471381452,,10544,1.56,1.59,40,4,1.57,36266,199.075,190.2
O:NVDA251114C00200000,NVDA,2025-11-14,5,200.0,C,0.19390171503697365,0.026069845404126626,-0.3117025719001208,0.05941816270234186,,43980,1.12,1.13,2,1,1.13,88833,201.125,190.2
O:NVDA251114C00202500,NVDA,2025-11-14,5,202.5,C,0.14547322401461377,0.021033680031846268,-0.2728792842223803,0.05985962308851392,,35542,0.8,0.82,49,286,0.82,47552,203.31,190.2
O:NVDA251114C00205000,NVDA,2025-11-14,5,205.0,C,0.10881405480587517,0.016672941601581774,-0.22310301623721757,0.04021114097153121,,66261,0.58,0.59,1,43,0.58,38558,205.585,190.2
O:NVDA251114C00207500,NVDA,2025-11-14,5,207.5,C,0.08041678372841649,0.012956261748373079,-0.18603968143667962,0.0404906939222273,,21920,0.41,0.43,63,187,0.42,25738,207.92,190.2
O:NVDA251114C00210000,NVDA,2025-11-14,5,210.0,C,0.05992272528284036,0.01005288699348262,-0.15044608165408627,0.023607438830534525,,55464,0.3,0.31,67,26,0.3,41749,210.305,190.2
O:NVDA251114C00212500,NVDA,2025-11-14,5,212.5,C,0.04477758731762203,0.007715475401604661,-0.1221522072150383,0.023764566445798038,,7112,0.22,0.23,112,108,0.23,5431,212.725,190.2
O:NVDA251114C00215000,NVDA,2025-11-14,5,215.0,C,0.03340345530709682,0.0059217554545221394,-0.10160132902360826,0.011954771206522241,,28004,0.16,0.17,358,39,0.16,20038,215.165,190.2
O:NVDA251114C00217500,NVDA,2025-11-14,5,217.5,C,0.026267791565944647,0.004680012743862727,-0.08377122551587912,0.012031732280741211,,16758,0.12,0.14,26,423,0.13,17663,217.63,190.2
O:NVDA251114C00220000,NVDA,2025-11-14,5,220.0,C,0.020216989055184223,0.0036328112214088306,-0.06865586011191288,0.012105136395769696,,35116,0.09,0.11,123,138,0.11,22636,220.1,190.2
O:NVDA251114C00222500,NVDA,2025-11-14,5,222.5,C,0.015280229348853976,0.0027891495015860096,-0.056255149254849805,0.012175056814844605,,2721,0.07,0.08,103,118,0.07,2688,222.575,190.2
O:NVDA251114C00225000,NVDA,2025-11-14,5,225.0,C,0.011396450714036388,0.002128425756920271,-0.04424998947924125,0.005250049569901766,,17893,0.05,0.06,202,200,0.05,11563,225.055,190.2
O:NVDA251114C00227500,NVDA,2025-11-14,5,227.5,C,0.009230701807972558,0.0017132011892730524,-0.037419207355696676,0.005280109404857539,,1494,0.04,0.05,26,112,0.05,769,227.545,190.2
O:NVDA251114C00230000,NVDA,2025-11-14,5,230.0,C,0.007168947384864815,0.0013354309687440902,-0.030588378739585285,0.005309850644416154,,16625,0.03,0.04,54,151,0.03,4886,230.035,190.2
O:NVDA251114C00232500,NVDA,2025-11-14,5,232.5,C,0.005202251564526283,0.0009907519200824744,-0.02375750323741182,0.005339312527407227,,2047,0.02,0.03,119,125,0.04,389,232.525,190.2
O:NVDA251114C00235000,NVDA,2025-11-14,5,235.0,C,0.0049940720128384426,0.0009126472253473915,-0.02409389444193803,0.005363735267368929,,9077,0.02,0.03,165,166,0.03,1687,235.025,190.2
O:NVDA251114C00237500,NVDA,2025-11-14,5,237.5,C,0.0031446722204881822,0.0006072168645101028,-0.015401430969091813,0.001963650203619195,,1066,0.01,0.02,97,96,0.02,1573,237.515,190.2
O:NVDA251114C00240000,NVDA,2025-11-14,5,240.0,C,0.0030279237737125043,0.0005627223257782792,-0.015484012229246126,0.0019726465969700374,,4765,0.01,0.02,80,86,0.02,731,240.015,190.2
O:NVDA251114C00242500,NVDA,2025-11-14,5,242.5,C,0.002921287148119004,0.0005235554031990778,-0.01556653249120445,0.0019816621133442545,,768,0.01,0.02,43,115,0.01,187,242.515,190.2
O:NVDA251114C00245000,NVDA,2025-11-14,5,245.0,C,0.0028235038387240535,0.0004888768619271021,-0.015648990185785958,0.0019906867380943614,,11428,0,0.02,0,522,0.01,1806,245.01,190.2
O:NVDA251114C00247500,NVDA,2025-11-14,5,247.5,C,0.0027335161325701476,0.00045800822309084895,-0.015731383841707375,0.0019997174691775465,,1009,0,0.01,0,443,0.01,679,247.505,190.2
O:NVDA251114C00250000,NVDA,2025-11-14,5,250.0,C,0.0026504285554034518,0.00043039596623804945,-0.015813712070120854,0.002008747466333652,,6586,0,0.01,0,22,0.01,4938,250.005,190.2
O:NVDA251114C00252500,NVDA,2025-11-14,5,252.5,C,0.0025734778816859996,0.0004055847311692955,-0.015895973568951897,0.002017773782390555,,2066,0,0.01,0,117,0.01,1040,252.505,190.2
O:NVDA251114C00255000,NVDA,2025-11-14,5,255.0,C,0.0025020095660638402,0.00038319701718676525,-0.015978167110561783,0.002026790285363968,,4364,0,0.01,0,370,0.01,73,255.005,190.2
O:NVDA251114C00257500,NVDA,2025-11-14,5,257.5,C,0.0024354602414057088,0.00036291778091659553,-0.01606029941220514,0.0020357942943053085,,1198,0,0.01,0,74,0.01,238,257.505,190.2
O:NVDA251114C00260000,NVDA,2025-11-14,5,260.0,C,0.002373336779582604,0.00034448167996826675,-0.016142345758867745,0.0020447824237551726,,3296,0,0.01,0,11061,0.01,100,260.005,190.2
O:NVDA251114C00262500,NVDA,2025-11-14,5,262.5,C,0.0023152161741997594,0.0003276651352561872,-0.016224328742641483,0.002053755274520895,,514,0,0.01,0,40,0.01,434,262.505,190.2
O:NVDA251114C00265000,NVDA,2025-11-14,5,265.0,C,0.0022607237761142584,0.0003122774755788215,-0.016306239515707012,0.0020627075779379354,,2970,0,0.01,0,21,0.01,3,265.005,190.2
O:NVDA251114C00267500,NVDA,2025-11-14,5,267.5,C,0.002209531239829496,0.0002981557887928034,-0.016388077160830832,0.0020716380286605334,,816,0,0.01,0,49,0.01,512,267.505,190.2
O:NVDA251114C00270000,NVDA,2025-11-14,5,270.0,C,0.0021613487123183788,0.00028516007359444273,-0.016469840811452786,0.0020805443941239983,,2518,0,0.01,0,39,0.01,3,270.005,190.2
O:NVDA251114C00272500,NVDA,2025-11-14,5,272.5,C,0.0021159138866837916,0.0002731688730748557,-0.01655148825721904,0.0020894280846833133,,172,0,0.01,0,4,0.01,1,272.505,190.2
O:NVDA251114C00275000,NVDA,2025-11-14,5,275.0,C,0.002073014742513651,0.00026207908218910396,-0.016633142908202683,0.002098285518679363,,3242,0,0.01,0,46,0.01,8,275.005,190.2
O:NVDA251114C00280000,NVDA,2025-11-14,5,280.0,C,0.0019939859639389167,0.00024224539641632436,-0.016796139799684025,0.0021159187771410577,,2658,0,0.01,0,52,0.01,10,280.005,190.2
O:NVDA251114C00285000,NVDA,2025-11-14,5,285.0,C,0.001922872483957906,0.0002250563878345176,-0.016958826160613883,0.002133439244747579,,2037,0,0.01,0,20,0.01,20,285.005,190.2
O:NVDA251114P00100000,NVDA,2025-11-14,5,100.0,P,-0.001133279564946535,8.707615098717955e-05,-0.016694577415748788,0.0012377485049695697,,13819,0,0.01,0,222,0.01,5070,99.995,190.2
O:NVDA251114P00105000,NVDA,2025-11-14,5,105.0,P,-0.0012198172921763463,0.00010036699216113974,-0.01654180883494706,0.0012688275478167296,,6973,0,0.01,0,48,0.01,2819,104.995,190.2
O:NVDA251114P00110000,NVDA,2025-11-14,5,110.0,P,-0.0013155849512610069,0.00011616340910645819,-0.016386848561766296,0.001299014830520315,,12324,0,0.01,0,38,0.01,1272,109.995,190.2
O:NVDA251114P00115000,NVDA,2025-11-14,5,115.0,P,-0.0014223436768343893,0.00013511863146804565,-0.016230032637150442,0.0013283483807048128,,4631,0.01,0.02,15,48,0.01,174,114.985,190.2
O:NVDA251114P00120000,NVDA,2025-11-14,5,120.0,P,-0.0015422990821878913,0.00015810950297942927,-0.01607152140453936,0.0013568590014573772,,8857,0.01,0.02,1,10,0.02,1280,119.985,190.2
O:NVDA251114P00125000,NVDA,2025-11-14,5,125.0,P,-0.0016782916541406374,0.00018633761859618764,-0.015911639925738668,0.0013845668190256434,,6738,0.01,0.02,20,56,0.02,215,124.985,190.2
O:NVDA251114P00130000,NVDA,2025-11-14,5,130.0,P,-0.002339462679905446,0.0002699212689390492,-0.020346950772328634,0.0014121000244605663,,7557,0.01,0.03,107,434,0.02,1100,129.98,190.2
O:NVDA251114P00135000,NVDA,2025-11-14,5,135.0,P,-0.0030848072000000705,0.00037350371694344593,-0.024781752947627064,0.0014391886246572965,,3418,0.02,0.03,10,16,0.03,1640,134.975,190.2
O:NVDA251114P00140000,NVDA,2025-11-14,5,140.0,P,-0.00393871419882489,0.0005047783071128984,-0.028163902082004328,0.004029277676119709,,14857,0.02,0.04,107,78,0.03,3271,139.97,190.2
O:NVDA251114P00145000,NVDA,2025-11-14,5,145.0,P,-0.006094148632331125,0.0007983814351527907,-0.038247044353696316,0.004100194098605973,,14698,0.04,0.05,99,198,0.04,12683,144.955,190.2
O:NVDA251114P00150000,NVDA,2025-11-14,5,150.0,P,-0.0085999616211842,0.0011825842832820766,-0.04832894812573512,0.004170160591620141,,7978,0.05,0.07,128,84,0.07,19016,149.94,190.2
O:NVDA251114P00155000,NVDA,2025-11-14,5,155.0,P,-0.013287445014643379,0.001864533292653713,-0.06512678151930643,0.009892411376921326,,6165,0.08,0.1,27,84,0.09,7986,154.91,190.2
O:NVDA251114P00160000,NVDA,2025-11-14,5,160.0,P,-0.024106377241675702,0.003293230037394548,-0.10350661421724718,0.010058913203373548,,14419,0.16,0.17,11,355,0.16,13246,159.835,190.2
O:NVDA251114P00162500,NVDA,2025-11-14,5,162.5,P,-0.030783388842490232,0.004190247659559108,-0.12238763378953887,0.02028043313626215,,2624,0.2,0.22,117,109,0.2,7988,162.29,190.2
O:NVDA251114P00165000,NVDA,2025-11-14,5,165.0,P,-0.04129728908831625,0.00549409240180115,-0.1486960279526669,0.020442408746214006,,16782,0.28,0.29,70,73,0.29,26722,164.715,190.2
O:NVDA251114P00167500,NVDA,2025-11-14,5,167.5,P,-0.05505694595215455,0.007141169471743995,-0.18495714951134376,0.020611806605360078,,2785,0.38,0.39,85,1,0.39,14285,167.115,190.2
O:NVDA251114P00170000,NVDA,2025-11-14,5,170.0,P,-0.0745266145339646,0.009204998591395508,-0.22799420604965082,0.035893633076102896,,21391,0.53,0.55,15,90,0.53,23263,169.46,190.2
O:NVDA251114P00172500,NVDA,2025-11-14,5,172.5,P,-0.09926167716201438,0.0117019360718664,-0.2749453726158714,0.03618442591374748,,2813,0.73,0.75,31,31,0.74,7524,171.76,190.2
O:NVDA251114P00175000,NVDA,2025-11-14,5,175.0,P,-0.13101489956830725,0.01452187630375498,-0.3351596739591827,0.05472797937428814,,23884,1.01,1.03,12,5,1.02,39454,173.98,190.2
O:NVDA251114P00177500,NVDA,2025-11-14,5,177.5,P,-0.17128484605628572,0.01763699645935734,-0.3866985936853299,0.0551681718847163,,2859,1.39,1.41,12,27,1.41,17503,176.1,190.2
O:NVDA251114P00180000,NVDA,2025-11-14,5,180.0,P,-0.21974803414597427,0.020768316973208193,-0.45840761910486305,0.0727414569403105,,20700,1.89,1.92,5,2,1.9,63596,178.095,190.2
O:NVDA251114P00182500,NVDA,2025-11-14,5,182.5,P,-0.27609461570171706,0.023679057349820565,-0.4980801897695362,0.07332198280683264,,4858,2.52,2.58,22,1,2.54,28972,179.95,190.2
O:NVDA251114P00185000,NVDA,2025-11-14,5,185.0,P,-0.3389597644749978,0.026157113082015807,-0.5590999624183641,0.07486760432335751,,28078,3.3,3.4,206,10,3.3,24716,181.65,190.2
