ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:QQQ251110C00605000,QQQ,2025-11-10,1,605.0,C,0.9374877854782651,0.026037390154754488,-0.4458294246286717,0.02801776714172713,,111,7.13,7.5,16,30,7.36,50421,612.315,612.14
O:QQQ251110C00606000,QQQ,2025-11-10,1,606.0,C,0.8530126418780294,0.03880699209601645,-0.9627644095309983,0.07310294899539543,,89,6.56,6.73,14,27,6.58,26406,612.645,612.14
O:QQQ251110C00607000,QQQ,2025-11-10,1,607.0,C,0.7979838328228113,0.04529084112937933,-1.2235787883796034,0.07329924309615454,,143,5.82,5.99,14,8,5.93,23455,612.905,612.14
O:QQQ251110C00608000,QQQ,2025-11-10,1,608.0,C,0.7387808836513069,0.04949733819886675,-1.4709279647240516,0.0960824949413033,,230,5.19,5.31,5,13,5.31,31778,613.25,612.14
O:QQQ251110C00609000,QQQ,2025-11-10,1,609.0,C,0.6808777943439331,0.05263486491053177,-1.6707350937105054,0.09627982163662968,,298,4.59,4.66,9,9,4.64,23765,613.625,612.14
O:QQQ251110C00610000,QQQ,2025-11-10,1,610.0,C,0.6257429835591316,0.05501877340453383,-1.8031604290320744,0.11023474401678204,,732,3.98,4.05,19,12,4.03,63208,614.015,612.14
O:QQQ251110C00611000,QQQ,2025-11-10,1,611.0,C,0.568686492529237,0.05620092413186729,-1.8673108663715239,0.11042656102525228,,1355,3.44,3.49,17,17,3.47,11769,614.465,612.14
O:QQQ251110C00612000,QQQ,2025-11-10,1,612.0,C,0.512415621217453,0.056440237724908596,-1.9620047100703166,0.11061685223601653,,2258,2.94,2.98,17,12,2.94,19116,614.96,612.14
O:QQQ251110C00613000,QQQ,2025-11-10,1,613.0,C,0.45753425502178796,0.0556327786969276,-1.9219696665020582,0.11080063144221375,,3174,2.48,2.53,5,20,2.47,9479,615.505,612.14
O:QQQ251110C00614000,QQQ,2025-11-10,1,614.0,C,0.4027343995690539,0.05423419050230694,-1.8748396368262124,0.11098450399468424,,1437,2.06,2.1,1,28,2.1,29332,616.08,612.14
O:QQQ251110C00615000,QQQ,2025-11-10,1,615.0,C,0.3517145925295529,0.05166557801585647,-1.845166048724245,0.0972655397279191,,3128,1.71,1.74,14,21,1.7,30712,616.725,612.14
O:QQQ251110C00616000,QQQ,2025-11-10,1,616.0,C,0.30105953730178486,0.048745878238470826,-1.675487818514541,0.09743565757215727,,1634,1.36,1.41,51,43,1.39,6540,617.385,612.14
O:QQQ251110C00617000,QQQ,2025-11-10,1,617.0,C,0.25504804478616494,0.04480226795578117,-1.5659934173364236,0.0975901377950773,,2021,1.1,1.13,7,30,1.12,7030,618.115,612.14
O:QQQ251110C00618000,QQQ,2025-11-10,1,618.0,C,0.2120237322678522,0.04069094858875845,-1.4038255464224356,0.07475520884122046,,2405,0.85,0.89,73,60,0.86,11395,618.87,612.14
O:QQQ251110C00619000,QQQ,2025-11-10,1,619.0,C,0.1741451729325606,0.035969492325246606,-1.2285459022467928,0.07488217688119503,,861,0.67,0.69,8,15,0.68,5009,619.68,612.14
O:QQQ251110C00620000,QQQ,2025-11-10,1,620.0,C,0.1411538889538773,0.031268847534086236,-1.096030036229962,0.0749932139939569,,2617,0.51,0.54,49,84,0.54,11926,620.525,612.14
O:QQQ251110C00621000,QQQ,2025-11-10,1,621.0,C,0.11300370588017668,0.026751024149578754,-0.9213574409053138,0.05008332308011997,,1544,0.39,0.41,93,28,0.4,4999,621.4,612.14
O:QQQ251110C00622000,QQQ,2025-11-10,1,622.0,C,0.08953795396669013,0.02240131320179111,-0.7775081168996212,0.05016210708655981,,1459,0.3,0.31,38,2,0.31,3190,622.305,612.14
O:QQQ251110C00623000,QQQ,2025-11-10,1,623.0,C,0.07124699780956395,0.0186615771185264,-0.677781343181032,0.05022340175165468,,1224,0.23,0.24,36,56,0.24,3326,623.235,612.14
O:QQQ251110C00624000,QQQ,2025-11-10,1,624.0,C,0.05632654462546883,0.01539255623478069,-0.5558870368930638,0.029124655272690193,,965,0.17,0.19,107,396,0.18,1999,624.18,612.14
O:QQQ251110C00625000,QQQ,2025-11-10,1,625.0,C,0.04352390450473361,0.012401159721259214,-0.45279320223660846,0.029167335611932098,,5999,0.13,0.14,63,87,0.12,6519,625.135,612.14
O:QQQ251110C00626000,QQQ,2025-11-10,1,626.0,C,0.03208107532672988,0.009688159910388626,-0.3621444099073496,0.029206088545232677,,2635,0.09,0.1,279,59,0.09,2288,626.095,612.14
