ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,bid_size,ask_size,last_price,volume,break_even,underlying_price
O:TSLA251114C00385000,TSLA,2025-11-14,5,385.0,C,1.0000000000004776,-1.6052759480212242e-10,-0.04132750994350247,-3.465223591703104e-05,,137,46.15,48.15,7,15,46.3,103,432.15,432.03
O:TSLA251114C00387500,TSLA,2025-11-14,5,387.5,C,0.9852174065586988,0.0016745791965720547,-0.12805913295713708,0.02336420861323152,,25,43.9,45.8,10,10,45.65,49,432.35,432.03
O:TSLA251114C00392500,TSLA,2025-11-14,5,392.5,C,0.9453668010576735,0.004168357064670365,-0.35340661851863076,0.04740899618225989,,55,39.4,41.35,10,16,45,32,432.875,432.03
O:TSLA251114C00395000,TSLA,2025-11-14,5,395.0,C,0.9779755820351087,0.0026620393728009127,-0.15040517745288565,0.023567876346818183,,215,37.2,37.6,15,20,37.1,103,432.4,432.03
O:TSLA251114C00397500,TSLA,2025-11-14,5,397.5,C,0.8909646046098342,0.006207007003440857,-0.6414143672039186,0.08274438855104856,,29,35.05,37.75,21,29,36.67,49,433.9,432.03
O:TSLA251114C00400000,TSLA,2025-11-14,5,400.0,C,0.921898553171824,0.0060518583716830145,-0.4130502246916289,0.08269780300259517,,729,32.95,33.3,7,14,33.1,8434,433.125,432.03
O:TSLA251114C00402500,TSLA,2025-11-14,5,402.5,C,0.8939975397236561,0.007277944409516732,-0.5304741118473625,0.08311895938540938,,116,30.9,31.25,5,2,31.55,66,433.575,432.03
O:TSLA251114C00405000,TSLA,2025-11-14,5,405.0,C,0.8714130615777242,0.008270621027872209,-0.6182836221924671,0.12522408781120226,,157,28.85,29.05,3,1,29.07,372,433.95,432.03
O:TSLA251114C00407500,TSLA,2025-11-14,5,407.5,C,0.842325965685931,0.00925967770858453,-0.7030419442661956,0.12574380537425137,,91,26.9,27.1,2,2,27,2798,434.5,432.03
O:TSLA251114C00410000,TSLA,2025-11-14,5,410.0,C,0.8116290535467734,0.010173570336042825,-0.8024531482687588,0.12627519354078096,,352,25.05,25.2,8,7,25.19,9125,435.125,432.03
O:TSLA251114C00412500,TSLA,2025-11-14,5,412.5,C,0.7810283295911076,0.01096870979013371,-0.9080345405292619,0.16581814518576482,,211,23.2,23.4,13,13,23.32,934,435.8,432.03
O:TSLA251114C00415000,TSLA,2025-11-14,5,415.0,C,0.7492826804460954,0.01167070887669703,-0.9622016295984568,0.1664435772977424,,387,21.45,21.65,20,18,21.9,2621,436.55,432.03
O:TSLA251114C00417500,TSLA,2025-11-14,5,417.5,C,0.7156790891753835,0.012282322142589851,-1.0301117942413527,0.1670825872791406,,137,19.8,20,12,15,19.85,3364,437.4,432.03
O:TSLA251114C00420000,TSLA,2025-11-14,5,420.0,C,0.6813243616796922,0.012766039515858576,-1.111764427898934,0.1677267770061265,,1045,18.25,18.45,18,18,18.39,36746,438.35,432.03
O:TSLA251114C00422500,TSLA,2025-11-14,5,422.5,C,0.6476768422581137,0.013153433748941524,-1.1731906924455684,0.1924042157844289,,314,16.75,16.95,18,40,16.87,5131,439.35,432.03
O:TSLA251114C00425000,TSLA,2025-11-14,5,425.0,C,0.6133479617313274,0.01345209188044093,-1.193477486929655,0.19310072520542945,,2156,15.35,15.5,16,20,15.42,12755,440.425,432.03
O:TSLA251114C00427500,TSLA,2025-11-14,5,427.5,C,0.5785486701160582,0.013664410883940515,-1.2218983703934203,0.1938000525244325,,292,14,14.15,19,28,14.15,10551,441.575,432.03
O:TSLA251114C00430000,TSLA,2025-11-14,5,430.0,C,0.5438954254621168,0.013724735433396883,-1.2638756606881385,0.19449698220806544,,1689,12.8,12.9,6,16,12.87,44534,442.85,432.03
O:TSLA251114C00432500,TSLA,2025-11-14,5,432.5,C,0.5103344689291485,0.01371902742176897,-1.2965358645364122,0.1951847270248434,,219,11.6,11.75,16,22,11.71,14732,444.175,432.03
O:TSLA251114C00435000,TSLA,2025-11-14,5,435.0,C,0.47723457336590874,0.013564306841389831,-1.2790924724327324,0.19586794585894307,,850,10.55,10.7,24,29,10.64,21267,445.625,432.03
O:TSLA251114C00437500,TSLA,2025-11-14,5,437.5,C,0.44444387713208994,0.013354349832398724,-1.2670714398754221,0.19654816899638608,,412,9.6,9.65,4,12,9.65,9867,447.125,432.03
O:TSLA251114C00440000,TSLA,2025-11-14,5,440.0,C,0.41261133391383253,0.013069330786055305,-1.2631837616773873,0.19722023872726754,,3153,8.65,8.75,30,297,8.7,32461,448.7,432.03
O:TSLA251114C00442500,TSLA,2025-11-14,5,442.5,C,0.38229388879149123,0.012720589910094757,-1.2674289235247775,0.19788102351763423,,905,7.8,7.9,28,24,7.95,13109,450.35,432.03
O:TSLA251114C00445000,TSLA,2025-11-14,5,445.0,C,0.35401844659171,0.01229091816773089,-1.2396743309722171,0.17372544812422347,,2446,7.05,7.15,20,35,7.12,16370,452.1,432.03
O:TSLA251114C00447500,TSLA,2025-11-14,5,447.5,C,0.3260525367584984,0.011835948508605079,-1.189037717491022,0.17431186823925018,,1459,6.35,6.4,8,15,6.4,5940,453.875,432.03
O:TSLA251114C00450000,TSLA,2025-11-14,5,450.0,C,0.2999347405854048,0.01130674098763386,-1.1521418201400722,0.17488400143016716,,8647,5.7,5.8,41,28,5.75,29318,455.75,432.03
O:TSLA251114C00452500,TSLA,2025-11-14,5,452.5,C,0.2747358040239461,0.010777346635170474,-1.1186808754533193,0.1754492017987084,,2879,5.1,5.2,39,16,5.15,3713,457.65,432.03
O:TSLA251114C00455000,TSLA,2025-11-14,5,455.0,C,0.2523315058347456,0.010214967047304178,-1.0989596943683986,0.17599363979982813,,8321,4.6,4.7,35,47,4.65,10466,459.65,432.03
O:TSLA251114C00457500,TSLA,2025-11-14,5,457.5,C,0.23118279300619407,0.009669340575403867,-1.0536386664611017,0.13501080878908805,,977,4.15,4.2,6,39,4.18,2317,461.675,432.03
O:TSLA251114C00460000,TSLA,2025-11-14,5,460.0,C,0.21131015398383363,0.00910386158096365,-0.9933216941682819,0.13544513733037897,,6508,3.7,3.8,143,103,3.75,15248,463.75,432.03
O:TSLA251114C00462500,TSLA,2025-11-14,5,462.5,C,0.19220521701884133,0.008536721471044005,-0.9378880581076242,0.13587373274101266,,1385,3.3,3.4,48,22,3.35,3837,465.85,432.03
O:TSLA251114C00465000,TSLA,2025-11-14,5,465.0,C,0.1755725186173077,0.007975869093903394,-0.8971042214479812,0.1362843039821934,,4120,3,3.05,11,18,3.07,12140,468.025,432.03
O:TSLA251114C00467500,TSLA,2025-11-14,5,467.5,C,0.15965376239793763,0.0074404517037399845,-0.8582733080288019,0.1366899296803459,,1285,2.69,2.73,16,21,2.72,7939,470.21,432.03
